,average,stdev,low,high,F-value,p-value,Variance,TargetCorrelation,RFE LGBMRegressor,FeatureImportance LGBMRegressor
FullBath*GarageYrBlt,39.0,25.93067681338071,6.0,79.0,45.0,45.0,79.0,44.0,15.0,6.0
GarageCars*TotalSF,49.666666666666664,103.77989529126856,1.0,261.0,1.0,3.0,261.0,1.0,18.0,14.0
GarageYrBlt*GarageCars,52.0,23.469128658729534,31.0,85.0,32.0,32.0,62.0,31.0,85.0,70.0
TotRmsAbvGrd*GarageArea,52.833333333333336,78.96180511276744,19.0,214.0,21.0,21.0,214.0,20.0,22.0,19.0
BedroomAbvGr*GarageArea,55.666666666666664,45.337254732357444,8.0,134.0,60.0,60.0,134.0,59.0,8.0,13.0
FullBath*GarageArea,57.833333333333336,63.31324242736796,14.0,162.0,15.0,15.0,162.0,14.0,30.0,111.0
TotRmsAbvGrd*GarageYrBlt,61.0,17.663521732655695,35.0,89.0,64.0,64.0,89.0,62.0,35.0,52.0
GarageYrBlt*TotalSF,61.5,114.82987416173546,3.0,294.0,4.0,4.0,294.0,3.0,39.0,25.0
1stFlrSF*FullBath,65.66666666666667,104.57660668938664,2.0,278.0,30.0,30.0,278.0,29.0,2.0,25.0
GrLivArea*GarageCars,66.33333333333333,101.8914455028815,5.0,268.0,6.0,6.0,268.0,5.0,55.0,58.0
GarageArea*TotalSF,70.83333333333333,152.66095331376212,4.0,382.0,5.0,5.0,382.0,4.0,4.0,25.0
1stFlrSF*GarageCars,73.16666666666667,81.45284934651868,12.0,219.0,13.0,13.0,219.0,12.0,103.0,79.0
FullBath*TotalSF,74.5,121.71400905401153,9.0,318.0,10.0,10.0,318.0,9.0,72.0,28.0
LotFrontage*GarageCars,76.16666666666667,92.03568148640322,37.0,264.0,38.0,38.0,264.0,37.0,38.0,42.0
GrLivArea*TotalSF,80.5,169.78074095727112,7.0,427.0,11.0,11.0,427.0,10.0,7.0,17.0
GrLivArea*FullBath,80.66666666666667,110.23369115958454,25.0,303.0,29.0,29.0,303.0,28.0,25.0,70.0
TotRmsAbvGrd*TotalSF,82.83333333333333,133.91253364292183,18.0,354.0,19.0,19.0,354.0,18.0,62.0,25.0
1stFlrSF*GrLivArea,83.16666666666667,163.69656889094122,4.0,417.0,22.0,22.0,417.0,21.0,13.0,4.0
TotalBsmtSF*FullBath,84.83333333333333,114.94592931751289,17.0,313.0,18.0,18.0,313.0,17.0,64.0,79.0
GrLivArea,87.16666666666667,113.60355041400187,24.0,311.0,25.0,25.0,311.0,24.0,101.0,37.0
1stFlrSF,87.16666666666667,94.82914460579441,28.0,279.0,59.0,59.0,279.0,58.0,40.0,28.0
1stFlrSF*TotRmsAbvGrd,87.16666666666667,121.89243892328459,17.0,335.0,41.0,41.0,335.0,40.0,49.0,17.0
GarageArea,87.33333333333333,72.0018518280375,42.0,222.0,43.0,43.0,117.0,42.0,57.0,222.0
TotalSF,92.5,129.7069774530268,2.0,336.0,2.0,3.0,336.0,2.0,112.0,100.0
TotalBsmtSF*TotRmsAbvGrd,93.66666666666667,142.06008118633,6.0,376.0,27.0,27.0,376.0,26.0,6.0,100.0
BedroomAbvGr*TotalSF,95.66666666666667,87.52294937138868,9.0,266.0,74.0,74.0,266.0,72.0,9.0,79.0
GrLivArea*TotRmsAbvGrd,95.83333333333333,112.0489476374797,25.0,321.0,48.0,48.0,321.0,47.0,86.0,25.0
KitchenAbvGr*GarageArea,98.66666666666667,17.862437310363518,87.0,134.0,90.0,90.0,91.0,87.0,134.0,100.0
1stFlrSF*GarageArea,99.0,130.01538370516005,23.0,352.0,24.0,24.0,352.0,23.0,46.0,125.0
TotalBsmtSF*GarageArea,100.16666666666667,146.64435436342808,19.0,393.0,20.0,20.0,393.0,19.0,97.0,52.0
LotFrontage*FullBath,100.5,117.77223781519989,33.0,339.0,51.0,51.0,339.0,50.0,33.0,79.0
Fireplaces*TotalSF,102.5,131.99204521485376,21.0,370.0,61.0,61.0,370.0,60.0,21.0,42.0
BsmtUnfSF*GarageCars,103.5,51.63235419773149,47.0,151.0,151.0,151.0,72.0,148.0,47.0,52.0
TotalBsmtSF*GrLivArea,105.0,168.1737197067366,8.0,440.0,9.0,9.0,440.0,8.0,94.0,70.0
GarageYrBlt*GarageArea,105.16666666666667,75.54976284983738,41.0,199.0,42.0,42.0,115.0,41.0,192.0,199.0
TotalBsmtSF*GarageYrBlt,105.16666666666667,97.92531167510607,33.0,283.0,34.0,34.0,283.0,33.0,136.0,111.0
GrLivArea*GarageYrBlt,106.0,107.57509005341339,15.0,272.0,16.0,16.0,272.0,15.0,146.0,171.0
LotFrontage*TotalSF,106.0,171.83596829534847,20.0,454.0,28.0,28.0,454.0,27.0,20.0,79.0
1stFlrSF*BedroomAbvGr,106.16666666666667,74.2251080609969,26.0,241.0,107.0,107.0,241.0,104.0,26.0,52.0
LotFrontage*GarageArea,107.0,138.9201209328584,37.0,389.0,46.0,46.0,389.0,45.0,79.0,37.0
1stFlrSF*TotalSF,107.16666666666667,158.06507098871234,25.0,426.0,26.0,26.0,426.0,25.0,53.0,87.0
GrLivArea*GarageArea,107.83333333333333,137.1705750759494,7.0,358.0,8.0,8.0,358.0,7.0,141.0,125.0
GarageCars*GarageArea,108.66666666666667,91.62896194253577,35.0,223.0,36.0,36.0,100.0,35.0,223.0,222.0
TotalBsmtSF*TotalSF,109.0,167.10475756243446,22.0,446.0,23.0,23.0,446.0,22.0,88.0,52.0
Fireplaces*GarageArea,110.33333333333333,92.47414052948353,51.0,290.0,52.0,52.0,290.0,51.0,117.0,100.0
GrLivArea*BedroomAbvGr,110.66666666666667,67.98136999698274,44.0,242.0,101.0,101.0,242.0,98.0,78.0,44.0
TotalBsmtSF*GarageCars,111.5,112.12448439123365,11.0,244.0,12.0,12.0,244.0,11.0,168.0,222.0
BsmtUnfSF*GarageArea,115.16666666666667,44.16974832016441,66.0,156.0,156.0,156.0,73.0,153.0,66.0,87.0
TotalBsmtSF*BedroomAbvGr,115.5,79.23320011207423,74.0,276.0,77.0,77.0,276.0,74.0,89.0,100.0
KitchenAbvGr*TotalSF,116.5,72.87454974131916,60.0,259.0,86.0,86.0,259.0,83.0,60.0,125.0
TotalBsmtSF,118.16666666666667,104.23323206476266,46.0,312.0,47.0,47.0,312.0,46.0,104.0,153.0
1stFlrSF*GarageYrBlt,118.33333333333333,85.270549820361,43.0,237.0,44.0,44.0,237.0,43.0,171.0,171.0
MasVnrArea*GarageArea,118.66666666666667,73.58985437318562,70.0,267.0,99.0,99.0,267.0,96.0,81.0,70.0
GrLivArea*Fireplaces,119.16666666666667,112.75888730679576,56.0,346.0,68.0,68.0,346.0,66.0,56.0,111.0
TotRmsAbvGrd*GarageCars,122.33333333333333,133.53002159314838,16.0,315.0,17.0,17.0,111.0,16.0,315.0,258.0
