,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,LGBMRegressor_feature_importance
1stFlrSF,848.3803400146686,6.298858873307475e-147,0.5205332413049111,0.609545555819365,5,95
1stFlrSF_binned_5,642.754199730337,1.757777191936216e-117,0.4926693814773975,0.5561928186070262,138,1
2ndFlrSF,150.09483058176485,6.823978651199466e-33,0.349925818952625,0.30771965911706994,15,45
2ndFlrSF_binned_5,163.92080296869423,1.2907094024800542e-35,0.6382178134393299,0.3201869003721539,149,0
3SsnPorch,4.309774558422415,0.03807167950244049,508.0,0.05472051034895508,107,2
3SsnPorch_binned_5,,,0.0,,148,0
Alley_ordinal_encoded,10.506200343185906,0.0012170480735031563,0.1379536448246923,0.08525362603819837,77,7
BedroomAbvGr,64.01899663218838,2.519284390031504e-15,0.661850129469256,0.2066573534457116,50,26
BldgType_1Fam,24.238576696873654,9.495553021893852e-07,0.13819190506007598,0.1288814477640013,91,5
BldgType_2fmCon,17.919340562821013,2.4510182829691705e-05,0.01977366246176093,0.11105554794776532,156,0
BldgType_Duplex,19.91999659354169,8.706371589637115e-06,0.034877036894984864,0.11701056420703805,157,0
BldgType_Twnhs,17.313776212536464,3.356985091222433e-05,0.0290280386775782,0.10918567703684397,160,0
BldgType_TwnhsE,1.3096443178788708,0.25264990978405666,0.07303838459560412,0.03019622433560308,154,0
BsmtCond_ordinal_encoded,121.00939480349071,4.43605518955854e-27,0.30947776939992794,0.27887105332395773,31,21
BsmtExposure_ordinal_encoded,193.4662726653988,2.364745839865853e-41,1.1086287493904265,0.344677749109299,25,27
BsmtFinSF,217.54697002746113,5.9930291809074765e-46,0.3225664324650318,0.3628270128998206,13,71
BsmtFinSF1,241.67777740560126,1.741460510390364e-50,0.3616488112731856,0.3796588736935222,9,75
BsmtFinSF1_binned_5,165.2145851731111,7.199126223482079e-36,0.33824260800041067,0.32131801835293083,145,0
BsmtFinSF2,0.002848434282692275,0.9574439587095909,1474.0,0.0014088888123130398,83,10
BsmtFinSF2_binned_5,,,0.0,,167,0
BsmtFinType1_ordinal_encoded,178.50370925406082,1.8424263385956067e-38,0.17765089935974826,0.33261255509020077,23,30
BsmtFinType2_ordinal_encoded,0.2765394623485717,0.599059652211267,0.8650938585518717,0.01388068069550278,53,5
BsmtFullBath,81.090681383434,6.684148650341139e-19,0.26324656689761444,0.2312719092321763,39,21
BsmtHalfBath,0.5664586798543129,0.4517930270261946,0.055973721639404755,0.019864263457922613,115,3
BsmtQual_ordinal_encoded,887.9911550613909,2.7157408289130826e-152,0.7675001416486155,0.6182733710256386,18,20
BsmtUnfSF,78.1293519841412,2.7653761918873392e-18,0.5715755370611221,0.2272317866317978,4,111
BsmtUnfSF_binned_5,29.76893281999173,5.725636727279863e-08,0.5006958942240779,0.142559798522443,164,0
CentralAir_ordinal_encoded,201.49721140487915,6.810332221754045e-43,0.06052972223796095,0.3508947619714281,26,16
Condition1_Artery,31.914281134904673,1.9401085286865022e-08,0.030986421587926992,0.14749936984147854,72,10
Condition1_Feedr,22.38323815863617,2.4532379732916454e-06,0.05195332230169072,0.12392946438149256,121,3
Condition1_Norm,23.827349154634792,1.1714985190506288e-06,0.11626905779215085,0.12780148968994517,45,17
Condition1_PosA,3.426459463297257,0.06436486862714637,0.004847530398761432,0.04880664640874127,190,0
Condition1_PosN,5.4144471116145585,0.020109358271760275,0.011690248134475622,0.06131028340251615,192,0
Condition1_RRAe,2.7602126709975567,0.09685382183702596,0.007596239943553631,0.043815527242613714,193,0
Condition1_RRAn,0.5123941426736731,0.47422074137785253,0.017765884136759443,0.018892899093213414,208,0
Condition1_RRNe,0.25104295450536473,0.6164185014794675,0.0013898513730714603,0.013225438586311353,209,0
Condition1_RRNn,0.8282078127092255,0.36294410145578193,0.0034673644011120747,0.024016981357257303,158,0
Condition2_Artery,2.5992178356689,0.1071363600700975,0.0013898513730714603,0.042520897754589504,197,0
Condition2_Feedr,4.714349168280286,0.030075300215610577,0.00415793166870786,0.057223274528788656,196,0
Condition2_Norm,3.378323201510673,0.06626583448059707,0.009647602457954577,0.0484634171763946,205,0
Condition2_PosA,2.91717577594834,0.08785741517427757,0.000695409955306835,0.04504165747366606,204,0
Condition2_PosN,4.5769371305060425,0.03257339479253508,0.000695409955306835,0.05638583722386107,207,0
Condition2_RRAe,0.11878183169565189,0.7304099676372577,0.000695409955306835,0.00909768896517322,214,0
Condition2_RRAn,0.23689320990896762,0.6265333899263257,0.000695409955306835,0.012847378275366408,215,0
Condition2_RRNn,4.398838021495567,0.03613801769533191,0.0013898513730714603,0.05528132085569084,206,0
Electrical_ordinal_encoded,150.73523135439558,5.097354161042558e-33,0.4263463519307069,0.3083131499027786,69,9
EnclosedPorch,35.116388275737314,3.8829677657502555e-09,386.0,0.15455357728824676,17,50
EnclosedPorch_binned_5,,,0.0,,198,0
ExterCond_ordinal_encoded,3.141905530455525,0.07651673311290161,0.12385464382274021,0.046740751502376526,40,16
ExterQual_ordinal_encoded,1281.241205641797,4.520945434214277e-201,0.32473126715219464,0.6868015744941282,59,9
Exterior1st_AsbShng,32.59813200548984,1.3751196835972055e-08,0.013724176973116791,0.1490365476778552,159,0
Exterior1st_AsphShn,1.6491054210075633,0.19928801916637015,0.000695409955306835,0.033880425526084765,163,0
Exterior1st_BrkComm,9.601238773691103,0.001982217834002,0.0013898513730714603,0.08152478153579687,243,0
Exterior1st_BrkFace,0.9515206742149779,0.32949692997465796,0.03293608766039586,0.025741818596635036,49,18
Exterior1st_CBlock,1.346121912029911,0.24615022449584914,0.000695409955306835,0.030613475966017607,247,0
Exterior1st_CemntBd,14.265584010502407,0.00016522872381483696,0.04001028586869827,0.0992135040226121,246,0
Exterior1st_HdBoard,9.253954206907503,0.002392506607573937,0.12869055177099512,0.08004641578276461,60,7
Exterior1st_ImStucc,1.3460937362101275,0.24615516533656862,0.000695409955306835,0.030613155877651642,224,0
Exterior1st_MetalSd,42.27611499576898,1.0911738826644118e-10,0.12917482054210014,0.1691674088487033,61,6
Exterior1st_Plywood,0.08193971454071357,0.7747270969609015,0.06713514827583368,0.007556294465498689,109,6
Exterior1st_Stone,2.470363535548386,0.11623153672860219,0.0013898513730714601,0.04145538800473303,220,0
Exterior1st_Stucco,3.4594515282361953,0.06309565710313507,0.015749388973878054,0.049040491353619854,251,0
Exterior1st_VinylSd,202.99850620942385,3.5159263171387824e-43,0.2293496899953462,0.3520381016190252,64,11
Exterior1st_Wd Sdng,61.298695758751165,9.462906462139342e-15,0.11980809397138652,0.20240277775084387,94,6
Exterior1st_WdShing,7.6035478916595185,0.005899214559115388,0.017094687620007855,0.0725996697097775,256,0
Exterior2nd_AsbShng,26.742346540537458,2.6531744136486884e-07,0.013724176973116791,0.13525842992582862,168,0
Exterior2nd_AsphShn,0.8502892821922605,0.3566255177412233,0.0020833242532938756,0.024334855537989926,170,0
Exterior2nd_Brk Cmn,4.7230032802595225,0.029924823972974388,0.004847530398761432,0.057275600574313086,172,0
Exterior2nd_BrkFace,0.035932493519791595,0.8496817757434227,0.016422522565714057,0.005003942263997108,95,4
Exterior2nd_CBlock,1.346121912029911,0.24615022449584914,0.000695409955306835,0.030613475966017607,176,0
Exterior2nd_CmentBd,13.565333180166675,0.00023895576964974523,0.03937201962838183,0.09677121386739596,136,1
Exterior2nd_HdBoard,4.6573125483302285,0.031087001603600575,0.12131029569935432,0.0568771895016246,180,0
Exterior2nd_ImStucc,0.36168794718383274,0.5476652748932663,0.006223822246241957,0.015873998806074693,182,0
Exterior2nd_MetalSd,39.50816405293227,4.324608161074742e-10,0.12625467985233674,0.16368912737247496,119,6
Exterior2nd_Other,2.757486572743518,0.09701867354334923,0.000695409955306835,0.04379392641779647,255,0
Exterior2nd_Plywood,1.0583400392781022,0.3037674555313232,0.08624826813380733,0.02714729558250468,76,8
Exterior2nd_Stone,0.46832174139374544,0.4938707628296992,0.003467364401112075,0.018062395752515784,262,0
Exterior2nd_Stucco,5.85202708630847,0.015682814297638254,0.016422522565714057,0.0637299346113029,141,2
Exterior2nd_VinylSd,204.50828903061682,1.8095201342254222e-43,0.22709106044691227,0.3531820713560033,99,6
Exterior2nd_Wd Sdng,51.79392050369837,9.902094784672279e-13,0.11626905779215085,0.18664398767039697,113,3
Exterior2nd_Wd Shng,5.727516666045198,0.016828938500132954,0.025085122343240982,0.06305104012602618,226,0
Fence_GdPrv,0.08553228491531746,0.76997795837887,0.03809258153512232,0.007720157204459661,228,0
Fence_GdWo,20.146343867033412,7.747164203759875e-06,0.036166160363666475,0.11766431883022306,68,9
Fence_MnPrv,36.809375070024124,1.6636119841340886e-09,0.09622904750628221,0.1581442622842742,120,1
Fence_MnWw,3.524560360771814,0.06066856901346479,0.007596239943553631,0.04949870486220541,165,0
Fence_Nonexistent,52.697002421174226,6.353659346711019e-13,0.15560524153147096,0.18820697390699317,79,5
FireplaceQu_ordinal_encoded,603.608588960031,1.5177981780131157e-111,0.2045553105155574,0.5441401608060068,22,35
Fireplaces,429.745573008109,1.0299735589208057e-83,0.4049436093229488,0.48006043394632436,80,6
Foundation_BrkTil,101.57923639849291,3.955478100318613e-23,0.0901669710295893,0.25711356596582813,52,12
Foundation_CBlock,197.04401835347755,4.8581690989123456e-42,0.2454903681362771,0.34746870346759895,102,10
