,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,RandomForestRegressor_rfe_rank,GradientBoostingRegressor_rfe_rank,AdaBoostRegressor_rfe_rank,ExtraTreesRegressor_rfe_rank,LGBMRegressor_feature_importance,XGBRegressor_feature_importance,RandomForestRegressor_feature_importance,GradientBoostingRegressor_feature_importance,AdaBoostRegressor_feature_importance,ExtraTreesRegressor_feature_importance
1stFlrSF,848.3803400146686,6.298858873307475e-147,0.5205332413049111,0.609545555819365,5,9,17,13,18,95,0.0005322746,0.006470273588688213,0.00588805517617627,0.012790102917318219,0.006157756401534807
1stFlrSF_binned_5,642.754199730337,1.757777191936216e-117,0.4926693814773975,0.5561928186070262,138,91,120,51,26,1,0.0,0.0005106830552386787,0.0,0.0,0.005068684047684286
2ndFlrSF,150.09483058176485,6.823978651199466e-33,0.349925818952625,0.30771965911706994,15,21,27,37,51,45,0.00095631316,0.0034723172816088993,0.0033411125329813668,0.00029989297540763737,0.002360026950773926
2ndFlrSF_binned_5,163.92080296869423,1.2907094024800542e-35,0.6382178134393299,0.3201869003721539,149,139,117,49,68,0,0.0,0.00012945980973107346,3.245706770337581e-06,0.0,0.0010471678409307763
3SsnPorch,4.309774558422415,0.03807167950244049,508.0,0.05472051034895508,107,174,121,48,189,2,0.00037407965,7.0014980888038e-05,0.0,0.0,0.0001101819550284055
3SsnPorch_binned_5,,,0.0,,148,306,119,47,321,0,0.0,0.0,0.0,0.0,0.0
Alley_ordinal_encoded,10.506200343185906,0.0012170480735031563,0.1379536448246923,0.08525362603819837,77,68,54,44,90,7,0.0051075267,0.00046862533928685666,0.0006900189095459981,0.0,0.0009689307879399897
BedroomAbvGr,64.01899663218838,2.519284390031504e-15,0.661850129469256,0.2066573534457116,50,40,77,46,29,26,0.00092563656,0.0010216228924998711,0.00021729879587729424,0.0011731957894846787,0.0032693410103358817
BldgType_1Fam,24.238576696873654,9.495553021893852e-07,0.13819190506007598,0.1288814477640013,91,65,116,55,53,5,0.00071064674,0.0005016788942456521,0.0,0.0,0.0022330162716045375
BldgType_2fmCon,17.919340562821013,2.4510182829691705e-05,0.01977366246176093,0.11105554794776532,156,214,124,45,208,0,0.002056465,7.195302436807571e-05,0.0,0.0,0.0001102923004379322
BldgType_Duplex,19.91999659354169,8.706371589637115e-06,0.034877036894984864,0.11701056420703805,157,205,127,58,217,0,0.00019822142,6.68543304677801e-05,0.0,0.0,0.0002023180616207398
BldgType_Twnhs,17.313776212536464,3.356985091222433e-05,0.0290280386775782,0.10918567703684397,160,217,126,63,209,0,0.00021718815,2.9583016775477774e-05,0.0,0.0,9.559040197625247e-05
BldgType_TwnhsE,1.3096443178788708,0.25264990978405666,0.07303838459560412,0.03019622433560308,154,194,111,59,168,0,0.00030078675,4.510554821825923e-05,0.0,0.0,0.000190926731383932
BsmtCond_ordinal_encoded,121.00939480349071,4.43605518955854e-27,0.30947776939992794,0.27887105332395773,31,80,135,62,80,21,0.00067319523,0.000435811384062994,0.0,0.0,0.001124524748998392
BsmtExposure_ordinal_encoded,193.4662726653988,2.364745839865853e-41,1.1086287493904265,0.344677749109299,25,33,32,28,41,27,0.0016681482,0.0019145983795255481,0.0016938188130008471,0.0019151395461399034,0.002335839694227055
BsmtFinSF,217.54697002746113,5.9930291809074765e-46,0.3225664324650318,0.3628270128998206,13,14,18,19,9,71,0.0006484546,0.005977124345328124,0.004801918558600854,0.008129474228243902,0.004424720611634612
BsmtFinSF1,241.67777740560126,1.741460510390364e-50,0.3616488112731856,0.3796588736935222,9,8,12,4,21,75,0.001275229,0.007075116180532283,0.005114189774861058,0.007352169116971084,0.003005321382559584
BsmtFinSF1_binned_5,165.2145851731111,7.199126223482079e-36,0.33824260800041067,0.32131801835293083,145,96,109,73,30,0,0.0,0.000403824613126983,0.00044807674464989686,0.0,0.00364053632034875
BsmtFinSF2,0.002848434282692275,0.9574439587095909,1474.0,0.0014088888123130398,83,102,101,57,101,10,0.000772704,0.0003063017104911979,5.507359439847296e-05,0.0,0.00038841507501602234
BsmtFinSF2_binned_5,,,0.0,,167,318,149,78,323,0,0.0,0.0,0.0,0.0,0.0
BsmtFinType1_ordinal_encoded,178.50370925406082,1.8424263385956067e-38,0.17765089935974826,0.33261255509020077,23,22,19,17,27,30,0.0041534193,0.0035411458388139886,0.005133520824393321,0.007852675568831536,0.0028379726908742504
BsmtFinType2_ordinal_encoded,0.2765394623485717,0.599059652211267,0.8650938585518717,0.01388068069550278,53,143,154,66,134,5,0.0005955571,0.00016312791160054887,0.0,0.0,0.0003910213882510604
BsmtFullBath,81.090681383434,6.684148650341139e-19,0.26324656689761444,0.2312719092321763,39,57,51,26,40,21,0.0023456134,0.0006285873353316501,0.0009367703821917749,0.0033927828027146842,0.002294803227069915
BsmtHalfBath,0.5664586798543129,0.4517930270261946,0.055973721639404755,0.019864263457922613,115,119,88,74,112,3,0.00016263714,0.0002891345195947836,5.1522098053095e-05,0.0,0.0006837898353847919
BsmtQual_ordinal_encoded,887.9911550613909,2.7157408289130826e-152,0.7675001416486155,0.6182733710256386,18,13,8,7,11,20,0.01582553,0.007999283589794041,0.028321544858723964,0.015019827664183631,0.018946080816537564
BsmtUnfSF,78.1293519841412,2.765376191887339e-18,0.5715755370611221,0.2272317866317978,4,4,21,14,44,111,0.0011623377,0.007619984937156851,0.0018404296666875645,0.0035494287682307874,0.0014027812456038336
BsmtUnfSF_binned_5,29.76893281999173,5.725636727279863e-08,0.5006958942240779,0.142559798522443,164,54,128,83,57,0,0.0,0.0007001464239590169,7.388245248427254e-05,0.0,0.001419109722548839
CentralAir_ordinal_encoded,201.49721140487915,6.810332221754045e-43,0.06052972223796095,0.3508947619714281,26,7,9,9,10,16,0.11192058,0.020858486432180485,0.015335412910736207,0.030942133620711087,0.030226802689487377
Condition1_Artery,31.914281134904673,1.9401085286865022e-08,0.030986421587926992,0.14749936984147854,72,109,34,53,103,10,0.0033674166,0.0003047657359476631,0.0011657660953935359,0.0,0.0006972489430291504
Condition1_Feedr,22.38323815863617,2.4532379732916454e-06,0.05195332230169072,0.12392946438149256,121,115,134,90,157,3,0.0006406322,0.00030264371474618195,0.0,0.0,0.00025669800931805124
Condition1_Norm,23.827349154634792,1.1714985190506288e-06,0.11626905779215085,0.12780148968994517,45,84,83,86,79,17,0.0011314242,0.00038664155376102875,0.0001525454081509401,0.0,0.0009174770514759091
