,average,stdev,low,high,F-value,p-value,Variance,TargetCorrelation,RFE LGBMClassifier,RFE RandomForestClassifier,RFE GradientBoostingClassifier,RFE ExtraTreesClassifier,RFE AdaBoostClassifier,RFE XGBClassifier,FeatureImportance LGBMClassifier,FeatureImportance RandomForestClassifier,FeatureImportance GradientBoostingClassifier,FeatureImportance ExtraTreesClassifier,FeatureImportance AdaBoostClassifier,FeatureImportance XGBClassifier
Age*Fare,5.0,4.211096452627668,1.0,17.0,7.0,7.0,17.0,7.0,1.0,5.0,2.0,1.0,5.0,9.0,1.0,2.0,2.0,4.0,2.0,8.0
Title_2,5.625,6.173869667126661,1.0,21.0,1.0,1.0,21.0,1.0,11.0,3.0,1.0,3.0,12.0,1.0,9.0,11.0,1.0,1.0,12.0,1.0
Fare*FamilySize,6.625,5.251983752196243,1.0,19.0,13.0,13.0,19.0,13.0,2.0,4.0,3.0,2.0,1.0,7.0,3.0,8.0,4.0,6.0,2.0,6.0
Sex_male,7.0,6.54217089351845,1.0,22.0,2.0,2.0,22.0,2.0,8.0,10.0,5.0,5.0,9.0,3.0,14.0,1.0,3.0,2.0,20.0,4.0
Fare,7.1875,4.415408625861636,1.0,18.0,6.0,6.0,18.0,6.0,3.0,1.0,8.0,8.0,2.0,8.0,2.0,5.0,12.0,8.0,12.0,10.0
Pclass,7.75,5.272570530585627,2.0,20.0,4.0,4.0,15.0,4.0,10.0,12.0,4.0,7.0,15.0,2.0,8.0,7.0,5.0,5.0,20.0,2.0
CabinQuarter_X,11.3125,5.313112709765027,5.0,25.0,5.0,5.0,25.0,5.0,12.0,15.0,13.0,11.0,14.0,5.0,12.0,17.0,11.0,12.0,12.0,7.0
Age,11.6875,7.02109915421605,2.0,22.0,22.0,22.0,2.0,22.0,4.0,8.0,15.0,9.0,20.0,12.0,5.0,4.0,14.0,9.0,5.0,14.0
Age*FamilySize,12.375,11.7011395456454,2.0,35.0,35.0,35.0,13.0,35.0,5.0,2.0,7.0,10.0,3.0,11.0,4.0,6.0,7.0,11.0,3.0,11.0
Fare^2,14.0,10.099504938362077,3.0,35.0,8.0,8.0,26.0,8.0,25.0,6.0,11.0,4.0,10.0,31.0,21.0,3.0,10.0,10.0,8.0,35.0
