,average,stdev,low,high,f_value,p_value,variance,target_correlation,RFE lightgbm.LGBMClassifier,feature_importance lightgbm.LGBMClassifier
Sex_male,9.0,11.278297743897348,2.0,31.0,2.0,2.0,31.0,2.0,7.0,10.0
Pclass,9.166666666666666,8.158839786799755,4.0,25.0,4.0,4.0,25.0,4.0,10.0,8.0
Fare^2_bc,9.5,5.089204259999788,5.0,18.0,6.0,6.0,18.0,5.0,13.0,9.0
Title_2,9.5,11.397368117245314,1.0,30.0,1.0,1.0,30.0,1.0,12.0,12.0
Fare*FamilySize_bc,10.333333333333334,3.141125063837266,7.0,16.0,10.0,10.0,16.0,11.0,8.0,7.0
Age*Fare,11.333333333333334,9.66781602362533,1.0,27.0,13.0,13.0,27.0,13.0,1.0,1.0
Fare,11.666666666666666,9.136009340333812,3.0,28.0,12.0,12.0,28.0,12.0,3.0,3.0
Age*Fare_bc,13.0,6.387487769068525,6.0,23.0,14.0,14.0,23.0,15.0,6.0,6.0
CabinQuarter_X,14.333333333333334,9.83192080250175,9.0,34.0,9.0,9.0,34.0,9.0,14.0,11.0
Title_1,15.333333333333334,13.721030087667131,3.0,32.0,3.0,3.0,32.0,3.0,26.0,25.0
Fare*FamilySize,18.0,12.489995996796797,2.0,29.0,25.0,25.0,29.0,25.0,2.0,2.0
Fare^2_yj,18.833333333333332,16.797817318528818,5.0,44.0,5.0,5.0,19.0,6.0,34.0,44.0
Age,19.166666666666668,15.904925861715503,4.0,34.0,34.0,34.0,6.0,33.0,4.0,4.0
Fare_yj,20.0,15.349267083479914,7.0,44.0,7.0,8.0,21.0,8.0,32.0,44.0
Age^2_bc,21.333333333333332,10.385887861259947,2.0,29.0,29.0,29.0,2.0,28.0,20.0,20.0
Fare_bc,21.5,16.70628624201082,8.0,44.0,8.0,8.0,21.0,8.0,40.0,44.0
Embarked_S,21.5,8.167006795638168,11.0,33.0,24.0,24.0,33.0,24.0,11.0,13.0
Fare^2,22.5,7.867655305108378,16.0,35.0,16.0,16.0,35.0,16.0,25.0,27.0
Fare*FamilySize_yj,22.833333333333332,16.5821188835042,10.0,44.0,11.0,11.0,17.0,10.0,44.0,44.0
FamilySize^2_bc,23.333333333333332,13.923601066773877,8.0,44.0,17.0,17.0,8.0,17.0,37.0,44.0
Age*Fare_yj,23.5,11.945710527214361,14.0,44.0,15.0,15.0,22.0,14.0,31.0,44.0
FamilySize_yj,24.0,12.263767773404714,10.0,44.0,19.0,19.0,10.0,19.0,33.0,44.0
FamilySize_bc,24.666666666666668,14.278188493876478,9.0,44.0,18.0,18.0,9.0,18.0,41.0,44.0
CabinQuarter_C,24.833333333333332,7.440878084384038,16.0,37.0,26.0,26.0,37.0,26.0,16.0,18.0
CabinQuarter_D,25.0,6.928203230275509,21.0,39.0,22.0,22.0,39.0,22.0,21.0,24.0
FamilySize^2,25.166666666666668,6.462713568360172,12.0,28.0,28.0,28.0,12.0,27.0,28.0,28.0
Age*FamilySize_bc,25.5,11.895377253370318,14.0,37.0,37.0,37.0,14.0,35.0,15.0,15.0
CabinQuarter_E,25.5,7.12039324756716,22.0,40.0,23.0,23.0,40.0,23.0,22.0,22.0
FamilySize^2_yj,25.666666666666668,12.847827313077751,11.0,44.0,20.0,20.0,11.0,20.0,39.0,44.0
CabinQuarter_B,25.833333333333332,6.645800679125628,21.0,38.0,21.0,21.0,38.0,21.0,27.0,27.0
Age^2,26.0,14.01427843308388,7.0,39.0,39.0,39.0,7.0,37.0,17.0,17.0
Age*FamilySize,27.333333333333332,18.86442860694876,5.0,44.0,44.0,44.0,24.0,42.0,5.0,5.0
FamilySize,28.833333333333332,13.746514709797049,15.0,42.0,42.0,42.0,15.0,40.0,18.0,16.0
Age_bc,29.666666666666668,14.62418088874268,3.0,44.0,30.0,30.0,3.0,29.0,42.0,44.0
Age_yj,30.833333333333332,13.437509689918986,5.0,44.0,33.0,33.0,5.0,32.0,38.0,44.0
Age^2_yj,31.0,14.449913494550755,4.0,44.0,32.0,32.0,4.0,31.0,43.0,44.0
Title_3,33.333333333333336,11.129540272026812,19.0,41.0,41.0,41.0,41.0,39.0,19.0,19.0
Age*FamilySize_yj,34.0,10.75174404457249,13.0,44.0,38.0,38.0,13.0,36.0,35.0,44.0
CabinQuarter_F,34.5,6.6558245169174945,29.0,44.0,31.0,31.0,42.0,30.0,29.0,44.0
Embarked_Q,34.833333333333336,9.516652072376433,23.0,43.0,43.0,43.0,36.0,41.0,23.0,23.0
CabinQuarter_T,37.333333333333336,5.609515724790035,30.0,44.0,36.0,36.0,44.0,34.0,30.0,44.0
CabinQuarter_G,40.166666666666664,2.9944392908634274,36.0,44.0,40.0,40.0,43.0,38.0,36.0,44.0
