,rank average,rank stdev,rank low,rank high,f_value,p_value,variance,correlation_to_target,lightgbm.LGBMClassifier_RFE,ensemble.RandomForestClassifier_RFE,xgboost.XGBClassifier_RFE,lightgbm.LGBMClassifier_feature_importance,ensemble.RandomForestClassifier_feature_importance,xgboost.XGBClassifier_feature_importance
Title_2,6.6,9.559172442098625,1.0,30.0,1.0,1.0,30.0,1.0,14.0,3.0,1.0,12.0,2.0,1.0
Sex_male,7.9,8.99938269487907,1.0,31.0,2.0,2.0,31.0,2.0,9.0,7.0,8.0,13.0,1.0,4.0
Pclass,9.2,8.243515970479804,2.0,26.0,4.0,4.0,26.0,4.0,8.0,18.0,2.0,7.0,17.0,2.0
Age*Fare,9.8,8.189424074174365,1.0,29.0,13.0,13.0,29.0,13.0,1.0,4.0,9.0,1.0,6.0,9.0
Fare,11.3,7.1188326134119615,2.0,27.0,12.0,12.0,27.0,12.0,3.0,17.0,7.0,2.0,11.0,10.0
Fare*FamilySize,12.7,10.822302075908906,2.0,25.0,25.0,25.0,25.0,25.0,2.0,2.0,5.0,3.0,10.0,5.0
Age*Fare_boxcox,14.7,12.570247058475465,1.0,44.0,14.0,14.0,23.0,14.0,6.0,1.0,21.0,6.0,4.0,44.0
CabinQuarter_X,14.7,10.573026477262264,4.0,35.0,9.0,9.0,35.0,9.0,11.0,27.0,4.0,11.0,26.0,6.0
Fare*FamilySize_boxcox,16.4,13.945927322659074,5.0,44.0,10.0,11.0,13.0,10.0,10.0,5.0,41.0,8.0,12.0,44.0
Title_1,17.2,14.987402117185695,3.0,44.0,3.0,3.0,33.0,3.0,27.0,10.0,19.0,27.0,3.0,44.0
Fare^2_boxcox,17.6,12.937456387473459,6.0,44.0,6.0,6.0,19.0,6.0,13.0,20.0,35.0,9.0,18.0,44.0
Age,18.8,11.669523459755236,4.0,34.0,34.0,34.0,12.0,33.0,4.0,19.0,13.0,4.0,22.0,13.0
Fare_boxcox,20.0,13.816254517375137,7.0,44.0,8.0,8.0,20.0,7.0,28.0,12.0,38.0,28.0,7.0,44.0
Age*FamilySize,20.0,14.36043948569201,5.0,40.0,40.0,40.0,24.0,38.0,5.0,14.0,10.0,5.0,13.0,11.0
Embarked_S,21.9,9.791719858011554,11.0,34.0,24.0,24.0,34.0,24.0,12.0,34.0,11.0,11.0,33.0,12.0
Fare^2_yeojohnson,22.5,15.848238598237554,6.0,44.0,6.0,6.0,18.0,6.0,35.0,13.0,37.0,44.0,16.0,44.0
Fare^2,22.5,10.834615308763338,8.0,44.0,16.0,16.0,32.0,16.0,23.0,8.0,33.0,22.0,15.0,44.0
