,average,stdev,best,worst,f_value_rank,p_value_rank,variance_rank,correlation_to_target_rank,LGBMClassifier_rfe_rank_rank,RandomForestClassifier_rfe_rank_rank,LGBMClassifier_feature_importance_rank,RandomForestClassifier_feature_importance_rank
Sex_male_woe,6.75,8.860022573334675,1,28,3,3,28,3,7,2,7,1
Sex_male_target_encoder,7.5,9.54687682663064,2,31,4,4,31,4,5,5,5,2
Title_2,7.875,8.967202143685302,1,27,1,1,27,1,13,7,10,3
Age*Fare,9.0,7.111359122659224,1,17,17,17,4,17,1,6,1,9
Sex_male,9.375,9.303417190934276,2,29,2,2,29,2,10,12,14,4
Fare,10.875,7.735585673643962,2,21,16,16,2,16,2,21,2,12
Pclass_encoded_woe,11.0,6.4142698058981855,5,26,11,11,26,11,8,8,8,5
Pclass_encoded_target_encoder,11.125,6.875162335745764,4,25,12,12,25,12,4,14,4,6
Pclass_encoded,13.375,7.501190381723233,6,24,6,6,12,6,14,24,15,24
Fare^2BoxCox,17.625,14.937369246289656,3,42,7,8,22,8,38,3,42,13
CabinQuarter_X,18.0,8.70139561876632,9,33,13,13,33,13,12,25,9,26
Fare^2YeoJohnson,18.5,13.255726525328052,8,42,8,8,21,8,35,11,42,15
Title_1,18.75,14.849242404917497,5,42,5,5,30,5,34,19,42,10
Age*FareBoxCox,19.375,13.015787117409161,1,42,18,19,15,19,33,1,42,8
FareYeoJohnson,19.375,13.66891677179599,9,42,10,10,16,9,40,17,42,11
Age*FareYeoJohnson,19.375,12.489281118508897,4,42,19,19,14,18,32,4,42,7
FareBoxCox,19.75,14.038213154508966,9,42,9,9,17,10,42,15,42,14
Age,19.875,12.933207534979756,3,33,33,33,11,33,3,22,3,21
Fare^2,21.25,13.80217374184226,1,42,21,21,1,21,39,9,42,16
FamilySize,21.25,15.369264319227701,3,38,38,38,3,38,6,18,6,23
Fare^2_5_bins,21.875,6.556076788533128,15,32,15,15,24,15,22,32,23,29
SibSp,22.625,11.734412152785012,5,34,34,34,5,34,11,26,12,25
Parch,22.75,7.72287881187172,13,32,27,27,13,27,15,28,13,32
Age*Fare_5_bins,23.0,4.375255094603872,18,31,20,20,18,20,24,31,24,27
Embarked_S,23.0,8.434622525214577,9,32,25,25,32,25,9,27,11,30
AgeYeoJohnson,25.625,11.636610945018067,10,42,32,32,10,32,29,10,42,18
Age^2BoxCox,25.875,11.519393585229588,7,42,29,29,7,29,36,13,42,22
Fare_5_bins,26.0,10.323343865794095,15,42,15,15,24,15,31,33,42,33
AgeBoxCox,26.25,10.110108096073242,8,42,30,30,8,30,30,20,42,20
CabinQuarter_E,26.875,7.472568883207817,18,38,24,24,38,24,18,34,19,34
CabinQuarter_C,27.5,8.34950811211569,16,38,26,26,35,26,16,36,17,38
Age^2YeoJohnson,27.625,10.756227432117107,9,42,31,31,9,31,37,23,42,17
CabinQuarter_D,28.0,7.801098823700598,20,38,23,23,37,23,20,38,23,37
CabinQuarter_B,28.25,8.137216091163225,22,39,22,22,36,22,23,39,23,39
Age^2,28.5,13.44831375515692,6,42,39,39,6,39,28,16,42,19
Age^2_5_bins,29.125,7.772432970808708,20,37,37,37,20,37,21,30,20,31
Embarked_Q,33.375,9.797047660246573,18,42,42,42,34,42,19,35,18,35
Title_3,33.625,10.432606851323676,17,41,41,41,39,41,17,37,17,36
Age_5_bins,33.875,7.529703086538577,20,42,37,37,20,37,41,29,42,28
CabinQuarter_F,34.125,6.854352110677045,27,42,28,28,40,28,27,40,42,40
CabinQuarter_T,37.25,6.041522986797286,25,42,35,35,42,35,25,42,42,42
CabinQuarter_G,38.875,5.249149590988185,26,42,40,40,41,40,26,41,42,41
