,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
Age,1.800215688469102,0.18003135493268757,0.7610267331727454,0.045106555198922975,3,10,18,9,49,16,377,0.03221158884954434,0.018129384995338303,0.02976035671453941,0.1,0.014219755
Age*Fare,57.58788734755325,8.202956823903997e-14,2.5080924160434934,0.2474377069651379,1,1,3,1,1,10,519,0.04629452960484298,0.05480997024025777,0.035995490091098564,0.14,0.014716649
Age*Fare_binned_5,37.4118342625508,1.4352840524364585e-09,0.49632481087810015,0.2016106193836909,52,45,60,37,40,48,1,0.007178808978479156,3.351349673332613e-05,0.013252629367563664,0.0,0.0
Age*Fare_binned_5_catboost_encoded,51.78864320221873,1.3205351661065949e-12,0.5901703154681731,0.23537511914131692,6,29,37,14,34,12,101,0.015198333888456103,0.005798312273822539,0.013281506872813775,0.02,0.014319697
Age*Fare_binned_5_target_encoded,51.816030495366036,1.3032509860177043e-12,0.5892630869478005,0.2354338985838258,54,23,22,24,8,46,0,0.013827970282143182,0.007518740145503901,0.012429251076179555,0.02,0.0
Age*Fare_binned_5_woe_encoded,54.60036454753544,3.423346044882616e-13,0.5242407306902342,0.24131753886354698,15,15,11,31,31,8,66,0.014150981072679038,0.018897968371288976,0.013453957744090767,0.02,0.022000292
Age^2,0.30182066818221376,0.5828821778368816,1.0169181745013398,0.018485020021814694,53,6,9,6,2,44,0,0.03441707565524474,0.021264855867166914,0.03159933216707553,0.04,0.0
Age^2_binned_5,0.4116669489372894,0.5212911499022387,0.4938893676785089,0.02158695742834979,49,48,62,38,32,45,3,0.007956633271487601,2.752742268754179e-05,0.011155518414058692,0.0,0.0
Age^2_binned_5_catboost_encoded,6.429995493853574,0.011392304593288678,0.287462289786098,0.0850255497130739,4,16,39,50,13,18,200,0.011671931847500427,0.001964711278990788,0.010519069752703376,0.04,0.011970533
Age^2_binned_5_target_encoded,6.440268047368554,0.011327095699467294,0.28752688443205193,0.08509294957608216,57,25,33,15,23,59,0,0.010308519364249402,0.0025759864434727383,0.009839649518962667,0.0,0.0
