,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,LogisticRegression_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,LGBMClassifier_feature_importance,XGBClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,AdaBoostClassifier_feature_importance,ExtraTreesClassifier_feature_importance
Age,1.800215688469102,0.18003135493268757,0.7610267331727454,0.045106555198922975,3,7,6,16,2,7,359,0.007997092,0.03127852820848693,0.016911788737398636,0.06,0.03206880769467363
Age*Fare,57.58788734755325,8.202956823903997e-14,2.5080924160434934,0.2474377069651379,1,20,1,5,1,3,534,0.009163662,0.04542898723358871,0.05403145980208567,0.12,0.03748840903859573
Age*Fare_binned_5,37.4118342625508,1.4352840524364585e-09,0.49632481087810015,0.2016106193836909,58,33,47,58,36,37,0,0.0,0.007530624649348253,0.0,0.0,0.014166845992600142
Age*Fare_binned_5_catboost_encoded,51.78864320221873,1.3205351661065949e-12,0.5901703154681731,0.23537511914131692,6,40,31,19,8,32,122,0.010817391,0.01171956527098498,0.0050935071247193335,0.04,0.012305093491095067
Age*Fare_binned_5_target_encoded,51.816030495366036,1.3032509860177043e-12,0.5892630869478005,0.2354338985838258,50,41,20,26,35,24,0,0.0,0.01501801826879019,0.008464238325333183,0.0,0.012820935428595708
Age*Fare_binned_5_woe_encoded,54.60036454753544,3.423346044882616e-13,0.5242407306902342,0.24131753886354698,14,8,14,10,34,19,68,0.014868398,0.015171808089672447,0.024406462518095924,0.02,0.012829910106232703
Age^2,0.30182066818221376,0.5828821778368816,1.0169181745013398,0.018485020021814694,49,42,9,12,14,9,0,0.0,0.03505231968010572,0.013684201457341272,0.02,0.030054517824585802
Age^2_binned_5,0.4116669489372894,0.5212911499022387,0.4938893676785089,0.02158695742834979,45,31,42,50,28,29,3,0.0,0.00863948900179023,0.0,0.0,0.009249092399024179
Age^2_binned_5_catboost_encoded,6.429995493853574,0.011392304593288678,0.287462289786098,0.0850255497130739,4,29,27,51,38,42,207,0.011864365,0.011032285775919012,0.0032278899805262616,0.0,0.010285266389263801
Age^2_binned_5_target_encoded,6.440268047368554,0.011327095699467294,0.28752688443205193,0.08509294957608216,56,44,36,41,39,33,0,0.0,0.01005972589736395,0.00238782454182395,0.0,0.010191001342958616
Age^2_binned_5_woe_encoded,8.340210156960692,0.00397243351994816,0.27792216729171826,0.09673123835172874,12,43,21,13,13,26,82,0.010787313,0.013391260532612215,0.003284441281000909,0.0,0.01115086358641809
Age_binned_5,0.4116669489372894,0.5212911499022387,0.4938893676785089,0.02158695742834979,47,26,46,60,46,45,0,0.0,0.007290967162605284,0.0015228613726303685,0.0,0.011079458037751799
Age_binned_5_catboost_encoded,6.429995493853574,0.011392304593288678,0.287462289786098,0.0850255497130739,59,36,29,38,27,17,0,0.0,0.010731658577211176,0.003973526165752174,0.0,0.01010429364174053
Age_binned_5_target_encoded,6.440268047368554,0.011327095699467294,0.28752688443205193,0.08509294957608216,70,38,39,20,23,39,0,0.0,0.011766428725940995,0.0034241937823445636,0.02,0.010408030367654338
Age_binned_5_woe_encoded,8.340210156960692,0.00397243351994816,0.27792216729171826,0.09673123835172874,72,39,16,27,50,36,0,0.0,0.009692248017780732,0.005931461645425234,0.02,0.010053647798747123
CabinQuarter_B,27.335237831821228,2.136544755066371e-07,0.04724568291359444,0.17328491251510536,46,52,78,65,53,77,1,0.0,0.0006129479236456914,0.0,0.0,0.0012569534205528793
CabinQuarter_B_catboost_encoded,22.55497059118091,2.3822269094839513e-06,34.032168768751674,0.1578206120146036,31,47,67,59,56,67,11,0.0076911817,0.0019396306813337931,0.0002429412551467779,0.0,0.0022344681967419646
CabinQuarter_B_target_encoded,22.65748563849995,2.261466003206492e-06,34.796797612706364,0.1581699095043385,52,48,62,63,57,62,0,0.0,0.0018873531154601736,3.3127907054960584e-05,0.0,0.003089751268956044
CabinQuarter_B_woe_encoded,25.260022714288436,6.065252395768008e-07,343.209294869812,0.16676763460155916,32,49,61,78,60,60,16,0.010322945,0.002601334861257213,6.653341869470294e-05,0.0,0.0020124594617343516
CabinQuarter_C,12.017044071175501,0.0005525920408622263,0.06025854639471416,0.11587324623174683,62,50,76,66,61,75,0,0.0005252246,0.0012847361898426705,0.0,0.0,0.0018656095593597459
CabinQuarter_C_catboost_encoded,7.887733851044477,0.005086935909451815,10.058231426851263,0.09409458569608475,13,45,54,44,55,59,46,0.007643457,0.0033742631729593944,0.0020002499117212852,0.0,0.003409028420788585
CabinQuarter_C_target_encoded,7.930605879131792,0.004968859883969565,10.470099732681032,0.0943476841821905,66,37,56,34,11,53,0,0.0,0.003338480404463078,0.002704509986813957,0.02,0.002995231847971608
CabinQuarter_C_woe_encoded,10.370312554363768,0.0013273799743237582,189.68274365980008,0.1077407922616478,26,46,48,22,22,57,21,0.00783461,0.004500519620593168,0.0034051875013539367,0.02,0.0028086350841291406
CabinQuarter_D,20.930021741984948,5.444665472446875e-06,0.03589773053720196,0.15216593342783724,73,78,73,64,40,76,0,0.020954382,0.0013817287588678503,0.0,0.0,0.0011055455337373983
CabinQuarter_D_catboost_encoded,17.42639725133544,3.282300756307467e-05,26.269409284930614,0.13911683728479826,38,73,58,24,21,55,4,0.0027268112,0.003199555474552832,0.00048444407914038565,0.02,0.002865602073970891
CabinQuarter_D_target_encoded,17.547701352521802,3.0832492614034436e-05,28.1833374103501,0.1395907871430675,78,75,55,48,74,63,0,0.0,0.0023791128834382684,0.00532015205787553,0.0,0.0035364375657321386
CabinQuarter_D_woe_encoded,20.62306566838477,6.367594689087475e-06,498.3300997532737,0.15107164502661455,35,76,57,43,72,58,16,0.015644629,0.0028416820440037376,0.0016997704128534207,0.0,0.0027305221986507373
CabinQuarter_E,19.430296890445565,1.1717560248704859e-05,0.03485077723514955,0.14673471898153184,43,4,72,62,17,71,5,0.0132968165,0.0011156280692366568,0.0,0.0,0.0022311496354542816
CabinQuarter_E_catboost_encoded,14.771207544281552,0.00013007229778092772,23.92723847485545,0.12827002034824012,20,63,50,70,58,51,35,0.015073958,0.002758815079437985,0.0007511457061921851,0.0,0.0036906186426795633
CabinQuarter_E_target_encoded,14.903018822671202,0.00012143326416945633,25.738401109282258,0.12883160257285053,54,62,59,72,64,50,0,0.0,0.003617263766517631,0.003094008944771893,0.0,0.0034279106393469098
CabinQuarter_E_woe_encoded,17.430347455416626,3.275619230362971e-05,156.12440510750378,0.13913229865825835,42,64,60,31,44,56,7,0.013284299,0.0029928544733021207,4.8556077262439584e-05,0.02,0.004425849342972388
CabinQuarter_F,3.0500461124923044,0.08108257240826021,0.014473491014714804,0.05867107915597122,69,59,77,76,69,78,0,0.0,0.00010814411746448673,0.0002421788205474707,0.0,0.00045076202381499284
CabinQuarter_F_catboost_encoded,0.03869307945464712,0.8441032191509288,6.03224129981834,0.006619524297277406,40,71,63,71,68,68,9,0.006269563,0.0022449013545325874,0.0,0.0,0.002142379461371999
CabinQuarter_F_target_encoded,0.01568458270919452,0.9003635587018298,7.1213003887631725,0.00421456033443281,51,60,66,52,71,70,0,0.0,0.00204140880995174,0.0006595151296237846,0.0,0.002087080623800613
CabinQuarter_F_woe_encoded,0.6212476115260955,0.43079558526475514,423.18935307396924,0.026515467631732594,23,72,65,23,49,66,22,0.019416872,0.0027797862773139247,0.008079270111944875,0.0,0.002426002704190331
CabinQuarter_G,0.23685896204752224,0.6266047741882006,0.004499345654186218,0.016375943022548387,55,66,79,74,25,79,0,0.0,0.00025300229715754537,0.0,0.0,0.0003590612322234908
