,average,stdev,low,high,F-value,p-value,Variance,TargetCorrelation,RFE LGBMClassifier,RFE RandomForestClassifier,RFE GradientBoostingClassifier,RFE ExtraTreesClassifier,RFE AdaBoostClassifier,RFE XGBClassifier,FeatureImportance LGBMClassifier,FeatureImportance RandomForestClassifier,FeatureImportance GradientBoostingClassifier,FeatureImportance ExtraTreesClassifier,FeatureImportance AdaBoostClassifier,FeatureImportance XGBClassifier
MonthlyIncome*PercentSalaryHike,21.1875,13.688042226702839,3.0,49.0,9.0,9.0,49.0,9.0,29.0,16.0,21.0,3.0,23.0,30.0,18.0,11.0,14.0,44.0,40.0,14.0
EnvironmentSatisfaction,22.25,19.587410923005283,2.0,60.0,45.0,45.0,2.0,45.0,31.0,44.0,10.0,13.0,22.0,7.0,3.0,60.0,4.0,2.0,10.0,13.0
Age*YearsAtCompany,22.375,28.241517900660604,1.0,106.0,46.0,46.0,106.0,46.0,26.0,5.0,2.0,5.0,9.0,6.0,37.0,6.0,1.0,6.0,10.0,1.0
Age*MonthlyIncome,22.9375,17.21034088370516,1.0,59.0,8.0,8.0,59.0,8.0,37.0,13.0,12.0,1.0,33.0,10.0,40.0,24.0,10.0,46.0,40.0,18.0
JobSatisfaction,24.375,21.12147406472064,2.0,71.0,52.0,52.0,3.0,52.0,24.0,71.0,16.0,15.0,13.0,12.0,2.0,15.0,9.0,10.0,10.0,34.0
StockOptionLevel,28.375,32.12657259445312,2.0,110.0,17.0,17.0,110.0,17.0,32.0,27.0,7.0,32.0,28.0,3.0,10.0,5.0,2.0,100.0,40.0,7.0
JobInvolvement,30.625,29.384519734036832,6.0,112.0,18.0,18.0,112.0,18.0,35.0,77.0,15.0,17.0,12.0,14.0,19.0,68.0,6.0,28.0,10.0,23.0
MonthlyIncome,30.875,37.73570369468858,1.0,140.0,6.0,6.0,46.0,6.0,12.0,1.0,61.0,2.0,84.0,13.0,13.0,3.0,37.0,39.0,140.0,25.0
OverTime_No,34.125,48.249179613060086,1.0,140.0,2.0,2.0,124.0,2.0,30.0,52.0,5.0,54.0,109.0,1.0,8.0,4.0,5.0,4.0,140.0,4.0
Age*HourlyRate,34.4375,32.31298758497373,1.0,110.0,74.0,74.0,36.0,74.0,9.0,3.0,8.0,22.0,34.0,24.0,8.0,1.0,7.0,110.0,40.0,27.0
HourlyRate*TotalWorkingYears,35.0625,18.259130136272464,4.0,66.0,24.0,24.0,66.0,24.0,65.0,19.0,29.0,63.0,4.0,36.0,51.0,23.0,19.0,42.0,40.0,32.0
HourlyRate*MonthlyIncome,38.6875,33.78504353507135,5.0,140.0,16.0,16.0,41.0,16.0,34.0,68.0,14.0,51.0,74.0,16.0,5.0,50.0,16.0,33.0,140.0,29.0
DailyRate*MonthlyIncome,39.1875,35.123057478907874,7.0,140.0,25.0,25.0,39.0,25.0,15.0,7.0,18.0,41.0,62.0,15.0,16.0,56.0,15.0,95.0,140.0,33.0
BusinessTravel,39.25,27.99166542621809,10.0,114.0,34.0,34.0,114.0,34.0,45.0,82.0,36.0,39.0,15.0,17.0,28.0,73.0,30.0,13.0,10.0,24.0
OverTime_Yes,39.875,51.07494493389102,1.0,140.0,2.0,2.0,123.0,2.0,90.0,18.0,13.0,14.0,11.0,117.0,84.0,8.0,3.0,1.0,10.0,140.0
Age*PercentSalaryHike,41.4375,35.801245322846896,6.0,140.0,67.0,67.0,33.0,67.0,6.0,8.0,6.0,8.0,44.0,48.0,13.0,17.0,18.0,60.0,140.0,61.0
HourlyRate*YearsAtCompany,43.6875,28.238788335668133,2.0,95.0,47.0,47.0,95.0,47.0,5.0,2.0,78.0,89.0,30.0,34.0,32.0,18.0,62.0,11.0,40.0,62.0
WorkLifeBalance,43.75,27.958302285129307,12.0,113.0,68.0,68.0,113.0,68.0,53.0,72.0,19.0,19.0,31.0,18.0,46.0,25.0,12.0,18.0,40.0,30.0
Age*DailyRate,45.875,22.339427029357758,3.0,81.0,66.0,66.0,37.0,66.0,7.0,47.0,3.0,64.0,40.0,35.0,22.0,62.0,38.0,81.0,40.0,60.0
DistanceFromHome*PercentSalaryHike,46.125,34.44198019858905,6.0,140.0,54.0,54.0,38.0,54.0,42.0,11.0,17.0,6.0,103.0,62.0,46.0,21.0,35.0,34.0,140.0,21.0
DistanceFromHome*HourlyRate,46.3125,25.088426946834804,6.0,81.0,78.0,78.0,30.0,78.0,23.0,43.0,81.0,9.0,6.0,39.0,22.0,36.0,55.0,56.0,40.0,67.0
MonthlyIncome*TotalWorkingYears,47.4375,42.35086579201579,2.0,140.0,21.0,21.0,71.0,21.0,79.0,12.0,11.0,40.0,96.0,11.0,88.0,32.0,11.0,103.0,140.0,2.0
MonthlyRate*NumCompaniesWorked,48.625,38.683114317920854,7.0,140.0,100.0,100.0,7.0,100.0,28.0,41.0,28.0,29.0,41.0,37.0,33.0,35.0,17.0,22.0,140.0,20.0
MonthlyRate*TotalWorkingYears,48.625,33.78732503962593,10.0,140.0,43.0,43.0,61.0,43.0,11.0,31.0,35.0,73.0,76.0,33.0,18.0,44.0,24.0,93.0,140.0,10.0
NumCompaniesWorked*PercentSalaryHike,48.8125,29.06135750442501,7.0,87.0,87.0,87.0,9.0,87.0,57.0,42.0,22.0,81.0,7.0,23.0,79.0,59.0,27.0,20.0,40.0,54.0
Age*MonthlyRate,49.0,26.760667654849968,11.0,92.0,92.0,92.0,31.0,92.0,16.0,58.0,63.0,45.0,18.0,54.0,11.0,20.0,43.0,50.0,40.0,59.0
Age*DistanceFromHome,49.25,32.667006800950304,6.0,98.0,98.0,98.0,58.0,98.0,19.0,6.0,9.0,62.0,35.0,56.0,26.0,16.0,20.0,63.0,40.0,84.0
HourlyRate*PercentSalaryHike,50.0625,46.642568182580455,1.0,131.0,131.0,131.0,8.0,131.0,3.0,50.0,33.0,37.0,2.0,47.0,1.0,29.0,34.0,82.0,10.0,72.0
DailyRate*HourlyRate,50.125,34.23034715959899,14.0,104.0,104.0,104.0,27.0,104.0,17.0,15.0,27.0,58.0,14.0,86.0,55.0,27.0,21.0,26.0,40.0,77.0
MonthlyIncome^2,50.375,48.256087698859304,1.0,140.0,22.0,22.0,57.0,22.0,98.0,25.0,1.0,117.0,1.0,131.0,88.0,7.0,41.0,24.0,10.0,140.0
MonthlyIncome*MonthlyRate,50.5,44.13464247806554,4.0,140.0,48.0,48.0,50.0,48.0,4.0,4.0,24.0,113.0,90.0,42.0,6.0,9.0,8.0,122.0,140.0,52.0
HourlyRate*YearsInCurrentRole,50.625,33.41431828822289,14.0,114.0,14.0,14.0,56.0,14.0,20.0,60.0,108.0,60.0,32.0,75.0,16.0,83.0,114.0,30.0,40.0,74.0
DistanceFromHome*NumCompaniesWorked,51.125,34.58491964233352,9.0,140.0,70.0,70.0,34.0,70.0,36.0,61.0,25.0,28.0,101.0,9.0,30.0,14.0,25.0,66.0,140.0,39.0
Age*TotalWorkingYears,51.5,39.50696141188284,2.0,140.0,15.0,15.0,75.0,15.0,80.0,14.0,64.0,27.0,43.0,92.0,77.0,2.0,57.0,14.0,140.0,94.0
MaritalStatus_Single,51.875,44.00435584499941,3.0,140.0,3.0,3.0,121.0,3.0,75.0,88.0,62.0,18.0,83.0,5.0,72.0,55.0,61.0,3.0,140.0,38.0
TrainingTimesLastYear,52.0,29.25064101861701,1.0,107.0,84.0,84.0,1.0,84.0,40.0,78.0,30.0,26.0,29.0,41.0,37.0,107.0,23.0,62.0,40.0,66.0
MonthlyRate*YearsInCurrentRole,52.375,36.99346789186797,8.0,126.0,26.0,26.0,35.0,26.0,13.0,102.0,69.0,126.0,8.0,49.0,30.0,90.0,52.0,115.0,40.0,31.0
JobLevel,52.5,55.21956175124898,2.0,140.0,4.0,4.0,4.0,4.0,111.0,108.0,41.0,23.0,130.0,2.0,108.0,120.0,31.0,5.0,140.0,5.0
DailyRate*NumCompaniesWorked,52.5,36.564098967885606,7.0,109.0,109.0,109.0,26.0,109.0,21.0,20.0,67.0,72.0,37.0,59.0,46.0,19.0,91.0,7.0,40.0,8.0
DailyRate*TotalWorkingYears,53.0625,32.423178437654755,22.0,140.0,28.0,28.0,55.0,28.0,43.0,49.0,34.0,69.0,81.0,46.0,32.0,51.0,22.0,108.0,140.0,35.0
MonthlyIncome*YearsInCurrentRole,53.875,32.624888250127896,5.0,134.0,38.0,38.0,80.0,38.0,46.0,26.0,87.0,134.0,5.0,31.0,51.0,78.0,64.0,79.0,10.0,57.0
DistanceFromHome*MonthlyRate,55.5625,34.48278556033431,9.0,140.0,69.0,69.0,20.0,69.0,33.0,9.0,45.0,21.0,99.0,76.0,25.0,22.0,49.0,72.0,140.0,71.0
DailyRate*DistanceFromHome,55.75,38.39878470299114,5.0,112.0,112.0,112.0,40.0,112.0,8.0,37.0,43.0,16.0,19.0,80.0,5.0,63.0,26.0,86.0,40.0,93.0
MonthlyIncome*YearsAtCompany,55.8125,40.95236053432492,3.0,140.0,56.0,56.0,103.0,56.0,60.0,35.0,23.0,30.0,98.0,8.0,64.0,28.0,13.0,120.0,140.0,3.0
DistanceFromHome*YearsWithCurrManager,55.8125,31.023042511440856,3.0,95.0,95.0,95.0,86.0,95.0,54.0,30.0,32.0,36.0,3.0,40.0,64.0,84.0,28.0,77.0,10.0,64.0
HourlyRate*NumCompaniesWorked,55.8125,39.006356319622235,4.0,140.0,94.0,94.0,18.0,94.0,10.0,10.0,4.0,71.0,94.0,51.0,25.0,52.0,40.0,48.0,140.0,48.0
PercentSalaryHike*TotalWorkingYears,56.125,41.31162064117069,10.0,140.0,10.0,10.0,60.0,10.0,22.0,84.0,77.0,66.0,113.0,90.0,43.0,10.0,63.0,12.0,140.0,88.0
DailyRate*MonthlyRate,56.5,38.90329891752969,9.0,122.0,122.0,122.0,10.0,122.0,14.0,55.0,59.0,82.0,10.0,43.0,9.0,43.0,66.0,58.0,40.0,49.0
Age,58.5,43.58898943540674,15.0,140.0,32.0,32.0,42.0,32.0,39.0,38.0,133.0,44.0,140.0,53.0,25.0,53.0,99.0,19.0,140.0,15.0
DistanceFromHome,59.5,37.22723017720586,6.0,140.0,60.0,60.0,28.0,60.0,100.0,36.0,47.0,38.0,93.0,19.0,108.0,30.0,92.0,35.0,140.0,6.0
DailyRate*YearsAtCompany,60.0,33.9587985653203,4.0,140.0,41.0,41.0,72.0,41.0,38.0,17.0,97.0,4.0,85.0,83.0,43.0,46.0,85.0,47.0,140.0,80.0
Age*YearsWithCurrManager,60.125,32.48768997635874,18.0,140.0,20.0,20.0,73.0,20.0,18.0,57.0,60.0,88.0,60.0,44.0,64.0,57.0,84.0,92.0,140.0,65.0
RelationshipSatisfaction,60.1875,32.93269651880939,5.0,114.0,101.0,101.0,5.0,101.0,48.0,98.0,49.0,42.0,26.0,29.0,35.0,114.0,58.0,65.0,40.0,51.0
Department_Research & Development,60.375,34.95306376652363,17.0,129.0,59.0,59.0,119.0,59.0,61.0,129.0,26.0,46.0,17.0,22.0,84.0,119.0,42.0,40.0,40.0,44.0
DailyRate*YearsWithCurrManager,62.0,28.71933146854223,31.0,140.0,31.0,31.0,47.0,31.0,58.0,69.0,57.0,53.0,79.0,85.0,61.0,42.0,71.0,97.0,140.0,40.0
Age*NumCompaniesWorked,62.0625,40.78148068261704,15.0,140.0,123.0,123.0,29.0,123.0,51.0,21.0,38.0,48.0,45.0,57.0,55.0,40.0,32.0,15.0,140.0,53.0
PercentSalaryHike*YearsInCurrentRole,63.9375,40.92182587975924,11.0,140.0,11.0,11.0,45.0,11.0,50.0,80.0,122.0,49.0,111.0,26.0,55.0,71.0,115.0,71.0,140.0,55.0
Age*YearsInCurrentRole,64.1875,43.5372924437583,12.0,140.0,12.0,12.0,82.0,12.0,84.0,95.0,134.0,12.0,56.0,58.0,72.0,104.0,96.0,32.0,140.0,26.0
JobRole_Laboratory Technician,64.625,37.384265852539265,16.0,130.0,57.0,57.0,128.0,57.0,91.0,119.0,51.0,52.0,16.0,21.0,97.0,130.0,45.0,54.0,40.0,19.0
DailyRate,64.6875,31.750524930043806,21.0,140.0,97.0,97.0,21.0,97.0,71.0,23.0,39.0,31.0,65.0,67.0,51.0,72.0,54.0,67.0,140.0,43.0
MonthlyRate*YearsAtCompany,65.5625,26.64574700272697,29.0,140.0,53.0,53.0,93.0,53.0,74.0,29.0,56.0,50.0,42.0,72.0,61.0,38.0,65.0,87.0,140.0,83.0
DailyRate*YearsInCurrentRole,65.6875,36.272521739373644,19.0,140.0,19.0,19.0,65.0,19.0,49.0,46.0,70.0,100.0,87.0,96.0,41.0,105.0,70.0,29.0,140.0,96.0
MonthlyRate*YearsWithCurrManager,66.4375,32.14751156777147,33.0,140.0,33.0,33.0,43.0,33.0,63.0,40.0,93.0,70.0,47.0,94.0,55.0,41.0,102.0,106.0,140.0,70.0
