,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
Age,19.96157429294773,8.672568729712165e-06,0.4819884251995079,0.12995581458528788,48,59,561,3,568,141,15,0.003991164851033875,0.0016987978518862533,0.002096059040222128,0.0,0.002759211
Age*DailyRate,9.237691246091966,0.0024238427906978924,0.4599591373225298,0.08880945427716676,38,29,38,245,45,90,29,0.0031039252689980053,0.0071822241384982485,0.0011633141274034159,0.02,0.004690681
Age*DailyRate_binned_5,7.130819565263262,0.00768275466248364,0.4987083879500714,0.0780976865435992,306,428,203,288,57,187,0,0.0006081659371301361,0.0,0.0015609522118486521,0.0,0.0
Age*DailyRate_binned_5_catboost_encoded,0.1850876017133126,0.6671167818632429,0.88516273483481,0.012619757648821601,40,210,184,208,56,119,16,0.0024640704319988573,0.0,0.00205534698626468,0.0,0.0056944606
Age*DailyRate_binned_5_target_encoded,0.18405685855386067,0.6679892985345227,0.8850055920548953,0.012584574785736737,305,162,201,244,44,186,0,0.0013817046163919575,0.00036402661708700144,0.0013252806584161025,0.02,0.0
Age*DailyRate_binned_5_woe_encoded,0.011672430789873975,0.9139833878394336,0.8622872162238951,0.003169387994273943,165,265,109,344,51,85,14,0.002024184694948825,0.0021957350700099565,0.00195328837025578,0.0,0.0039642667
Age*DistanceFromHome,2.580924357452425,0.10843017145623104,0.5886566394399132,0.04707635206106895,23,19,37,71,40,51,17,0.0038942562687437564,0.008088414179454618,0.0015614023494676694,0.02,0.004975858
Age*DistanceFromHome_binned_5,5.152001766298484,0.023402160508332177,0.49912908444633386,0.06643918433092023,304,484,194,224,50,185,0,0.0007324178502816085,0.0,0.001396964927398346,0.0,0.0
Age*DistanceFromHome_binned_5_catboost_encoded,2.4809715845811953,0.11550325356636969,0.24404813429253594,0.046157757052913646,89,352,189,307,49,164,12,0.001411267231446762,0.0019502740420824945,0.0011476728756460231,0.0,0.0035741734
Age*DistanceFromHome_binned_5_target_encoded,2.4866039019281643,0.11509143006157083,0.24420710634835194,0.04621000941281773,311,160,112,140,48,199,0,0.0018359319194187235,0.0014689649493078345,0.0016057339323103143,0.0,0.0
Age*DistanceFromHome_binned_5_woe_encoded,3.4497914647664496,0.06351260222859446,0.29065970233962946,0.054406355811197106,186,243,132,96,47,193,6,0.0028042289030382377,0.0006838097621996653,0.001665895016451319,0.0,0.0
Age*HourlyRate,6.937994827832116,0.00855048023136969,0.4904667204927802,0.07704088239003161,6,8,4,119,39,27,18,0.005727965729227719,0.02916185596911707,0.002509550605025475,0.02,0.0069052745
Age*HourlyRate_binned_5,7.1512505799798625,0.0075962603874314616,0.49783378207626267,0.07820880475511101,302,365,191,485,60,197,0,0.0009682905051025979,0.0,0.001326795428350371,0.0,0.0
Age*HourlyRate_binned_5_catboost_encoded,3.0297784279435396,0.08201388092703672,0.7458918930085356,0.05099609499577473,103,151,185,294,63,147,9,0.0016304688870168614,0.004946858384694893,0.0014325220123135366,0.0,0.0035140538
Age*HourlyRate_binned_5_target_encoded,3.0358046115936284,0.08171072389908447,0.7448916947096598,0.05104665301450756,328,220,48,389,65,198,0,0.0018422128729616337,0.0,0.002016792553316355,0.0,0.0
Age*HourlyRate_binned_5_woe_encoded,4.015546986519437,0.04531437963738257,0.5009447083956248,0.058684064459879046,213,216,195,440,67,207,5,0.0019687723981761203,0.0,0.0014272004890466608,0.0,0.0
Age*MonthlyIncome,27.892825563716062,1.529681095182276e-07,1.096295259379851,0.15310604302555192,63,1,1,169,66,10,25,0.007222147295182552,0.019344451008530612,0.0018825700718133533,0.0,0.008980332
Age*MonthlyIncome_binned_5,40.33406819934792,3.0648719531913937e-10,0.4960602142157037,0.18315696465481887,320,466,186,56,64,212,0,0.0007997619507841414,0.0,0.0018738822249404943,0.0,0.0
Age*MonthlyIncome_binned_5_catboost_encoded,41.441464901356404,1.7729389195050116e-10,1.0337247770698237,0.18556884463215229,220,152,211,105,62,200,3,0.002481438560850721,0.0,0.0020231094084122315,0.0,0.0
Age*MonthlyIncome_binned_5_target_encoded,41.45300596437292,1.7628615531281011e-10,1.0353152133634296,0.1855937925084239,330,238,166,13,55,202,0,0.0020446144909548156,0.0013362764540163713,0.0016963825859150992,0.0,0.0
Age*MonthlyIncome_binned_5_woe_encoded,41.53578023950327,1.6922486935179782e-10,0.8711514662654513,0.18577261031410788,280,214,192,90,46,204,1,0.0029191859085761066,0.0,0.0018553770139040776,0.0,0.0
Age*MonthlyRate,2.86924574037571,0.09055516448203454,0.44059159257461084,0.049630115178473634,12,99,96,324,37,79,19,0.003548193028956812,0.0037509804645439954,0.001505245800250984,0.02,0.0045732823
Age*MonthlyRate_binned_5,2.5201196319021717,0.11267410880406474,0.49720771926406154,0.04651971877294136,315,459,199,435,71,221,0,0.0009854279505448228,0.0,0.0019869991254216636,0.0,0.0
