,f_value_rank,p_value_rank,variance_rank_rank,correlation_to_target_rank,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance_rank,RandomForestClassifier_feature_importance_rank,GradientBoostingClassifier_feature_importance_rank,ExtraTreesClassifier_feature_importance_rank,AdaBoostClassifier_feature_importance_rank,XGBClassifier_feature_importance_rank
alcalinity_of_ash,75.0,75.0,38.0,53.0,20,50,100,71,104,104,17.0,74.0,16.0,76.0,104.0,104.0
alcalinity_of_ash*alcohol,86.0,86.0,20.0,69.0,29,103,99,61,103,103,24.0,59.0,104.0,77.0,104.0,104.0
alcalinity_of_ash*ash,93.0,93.0,17.0,73.0,42,62,98,93,102,102,42.0,91.0,48.0,83.0,104.0,104.0
alcalinity_of_ash*color_intensity,34.0,34.0,8.0,63.0,16,31,10,32,96,8,17.0,83.0,14.0,44.0,2.0,6.0
alcalinity_of_ash*flavanoids,27.0,27.0,91.0,20.0,83,54,48,31,95,42,86.0,55.0,104.0,51.0,104.0,104.0
alcalinity_of_ash*hue,76.0,76.0,21.0,85.0,32,51,45,68,94,41,31.0,66.0,104.0,54.0,104.0,104.0
alcalinity_of_ash*magnesium,98.0,98.0,5.0,80.0,56,60,32,62,93,40,48.0,67.0,104.0,66.0,104.0,104.0
alcalinity_of_ash*malic_acid,60.0,60.0,32.0,46.0,58,66,47,66,92,39,69.0,79.0,104.0,74.0,104.0,104.0
alcalinity_of_ash*nonflavanoid_phenols,72.0,72.0,80.0,47.0,52,64,14,85,91,38,44.0,104.0,104.0,94.0,104.0,104.0
alcalinity_of_ash*od280/od315_of_diluted_wines,64.0,64.0,42.0,60.0,47,40,37,54,90,37,51.0,52.0,104.0,81.0,104.0,104.0
alcalinity_of_ash*proanthocyanins,92.0,92.0,10.0,78.0,60,55,13,69,89,22,61.0,63.0,24.0,78.0,104.0,20.0
alcalinity_of_ash*proline,51.0,51.0,23.0,68.0,17,49,52,47,88,19,13.0,40.0,104.0,33.0,104.0,23.0
alcalinity_of_ash*total_phenols,89.0,89.0,67.0,72.0,88,75,34,60,87,45,104.0,71.0,26.0,87.0,104.0,104.0
alcalinity_of_ash^2,79.0,79.0,29.0,57.0,91,56,25,67,86,46,104.0,64.0,20.0,85.0,104.0,104.0
alcohol,23.0,23.0,84.0,76.0,13,25,19,24,85,16,12.0,43.0,15.0,17.0,104.0,14.0
alcohol*ash,58.0,58.0,65.0,87.0,9,48,28,53,84,50,33.0,78.0,21.0,70.0,104.0,104.0
alcohol*color_intensity,33.0,33.0,64.0,86.0,5,10,8,6,83,6,9.0,3.0,9.0,15.0,104.0,5.0
alcohol*flavanoids,1.0,1.0,90.0,1.0,85,14,41,7,82,56,86.0,11.0,104.0,23.0,104.0,104.0
alcohol*hue,44.0,44.0,83.0,27.0,66,68,38,45,81,58,77.0,48.0,104.0,52.0,104.0,104.0
alcohol*magnesium,73.0,73.0,78.0,77.0,26,84,61,44,80,60,24.0,45.0,104.0,60.0,104.0,104.0
alcohol*malic_acid,63.0,63.0,55.0,65.0,3,98,42,49,79,28,61.0,93.0,104.0,58.0,104.0,25.0
alcohol*nonflavanoid_phenols,83.0,83.0,41.0,61.0,79,91,58,99,78,63,86.0,104.0,104.0,98.0,104.0,104.0
alcohol*od280/od315_of_diluted_wines,12.0,12.0,89.0,8.0,10,26,53,20,77,66,31.0,17.0,43.0,27.0,12.0,104.0
alcohol*proanthocyanins,69.0,69.0,25.0,45.0,68,89,24,102,76,68,69.0,104.0,104.0,100.0,104.0,104.0
alcohol*proline,10.0,10.0,50.0,37.0,23,16,20,5,75,69,14.0,27.0,31.0,3.0,104.0,104.0
alcohol*total_phenols,28.0,28.0,82.0,21.0,57,59,72,73,74,71,53.0,42.0,104.0,35.0,104.0,104.0
alcohol^2,24.0,24.0,86.0,75.0,96,38,62,16,73,32,104.0,9.0,47.0,20.0,104.0,104.0
ash,90.0,90.0,51.0,99.0,48,76,26,92,72,34,48.0,104.0,28.0,82.0,104.0,104.0
ash*color_intensity,31.0,31.0,37.0,83.0,11,11,16,21,66,14,6.0,10.0,27.0,9.0,6.0,16.0
ash*flavanoids,7.0,7.0,97.0,4.0,45,36,56,17,65,47,61.0,25.0,25.0,4.0,104.0,104.0
ash*hue,61.0,61.0,36.0,39.0,99,63,66,72,64,31,104.0,104.0,18.0,71.0,104.0,31.0
ash*magnesium,87.0,87.0,47.0,92.0,43,81,54,63,63,72,61.0,87.0,13.0,67.0,104.0,104.0
ash*malic_acid,65.0,65.0,53.0,62.0,73,101,94,57,62,74,69.0,65.0,104.0,73.0,104.0,104.0
ash*nonflavanoid_phenols,85.0,85.0,75.0,66.0,98,95,104,100,61,52,104.0,104.0,104.0,102.0,104.0,104.0
ash*od280/od315_of_diluted_wines,30.0,30.0,94.0,18.0,33,53,67,56,60,27,35.0,51.0,33.0,49.0,104.0,29.0
ash*proanthocyanins,74.0,74.0,31.0,48.0,44,93,69,104,59,84,31.0,104.0,104.0,104.0,104.0,104.0
ash*proline,14.0,14.0,63.0,40.0,63,13,80,15,58,77,64.0,37.0,104.0,11.0,104.0,104.0
ash*total_phenols,47.0,47.0,87.0,29.0,76,70,84,65,56,85,86.0,46.0,104.0,57.0,104.0,104.0
ash^2,91.0,91.0,57.0,98.0,97,92,64,79,55,79,104.0,60.0,104.0,84.0,104.0,104.0
color_intensity,35.0,35.0,33.0,82.0,8,12,5,10,53,12,10.0,18.0,8.0,16.0,104.0,13.0
color_intensity*flavanoids,32.0,32.0,34.0,32.0,21,67,75,33,52,21,4.0,21.0,104.0,42.0,104.0,19.0
color_intensity*hue,55.0,55.0,44.0,84.0,28,52,70,59,51,17,24.0,53.0,23.0,61.0,104.0,17.0
